Request Per Sec,Response Time
0,0
0,0
0.0167,35
0.025,42.3333
0.025,69.3333
0.0167,36.5
0.0333,61
-1,0
0,0
0.0083,29
0.0083,132
0.0167,64.5
0.0417,72
0.0083,45
0.0083,71
0.0667,70.125
0.0083,30
0.05,28.5
0.0083,30
0.025,50.3333
0.025,63.6667
0.0083,32
0.0167,53.5
0.0333,69
0,0
0.0167,68
0.025,32.6667
0.0083,50
0.0083,79
0,0
0.025,39.3333
0.025,55
0,0
0,0
0.0333,41
0.0583,42.4286
0.0167,78.5
0.0167,26
0.0167,25
0.0417,43.4
0,0
0,0
0.0417,75.6
0.0417,107.2
0.05,67.5
0,0
0,0
0,0
0.025,35.6667
0,0
0.0417,51
0.0083,38
0.0083,29
0.025,74.6667
0.025,35.6667
0.0083,83
0.0083,49
0,0
0.0333,67
0.075,95.1111
0,0
0.0333,37.5
0.0417,79.6
0.0167,34.5
0.0083,30
0.0417,62.4
0.0917,60.9091
0.0167,54.5
0.025,76
0,0
0,0
0,0
0,0
0.075,39.3333
0.0167,68
0,0
0.0083,94
0.025,70
0.05,73.5
0.0083,28
0,0
0,0
0.05,64.8333
0,0
0.0167,36
0.0417,63
0.0083,38
0.0417,79
0.025,72.3333
0.0083,56
0.0083,55
0.0083,48
0.0167,20.5
0.0083,43
0.0417,42.8
0.0333,43.75
0.0083,64
0.0083,76
0.05,64
0.0167,65
0,0
0.0083,32
0,0
0.0083,37
0.0083,37
0.0167,56
0.0083,63
0.025,77.6667
0,0
0.0417,65.4
0.0583,66.2857
0.0167,70.5
0.0333,33
0.0167,47.5
0.0417,39.6
0.0667,47.5
0.0083,35
0.0083,30
0,0
0.0167,44.5
0.05,65.1667
0,0
0.0167,40.5
0,0
0,0
0,0
0.0167,20.5
0.075,46
0.0083,36
0,0
0.05,50.8333
0.0083,92
0,0
0.025,81.3333
0.0167,64
0.0083,60
0.0167,30
0.0333,44
0,0
0.0583,42.7143
0.0083,39
0.0167,62
0,0
0.0417,71.8
0.0333,76
0,0
0.0167,49.5
0.0083,52
0.025,45.3333
0.0417,29.6
0.0333,69
0.0167,70
0.0583,41.2857
0.0167,23
0.0167,30.5
0.0167,41
0,0
0.0167,78
0.025,28.3333
0.025,76.6667
0.0083,36
0,0
0.0667,42.875
0.0083,49
0,0
0.0333,28.25
0.0417,57
0.025,53.6667
0.0167,39.5
0.0167,57.5
0.0167,61.5
0.0167,34
0,0
0.0167,53
0,0
0,0
0,0
0.0833,79.4
0.0167,37.5
0.0583,57.2857
0.0333,75.75
0.05,53.3333
0,0
0.0083,66
0,0
0.05,56.8333
0.0417,59.2
0.0417,37
0.025,90.6667
0.025,29.3333
0.0083,62
